City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,21.42,94,68,2.81,EC,1720669593
1,port-aux-francais,-49.35,70.2167,5.29,98,100,12.55,TF,1720669593
2,edinburgh of the seven seas,-37.0676,-12.3116,10.67,56,98,9.56,SH,1720669593
3,ushuaia,-54.8,-68.3,2.81,60,0,10.29,AR,1720669593
4,olonkinbyen,70.9221,-8.7187,3.36,97,100,7.21,SJ,1720669593
5,west island,-12.1568,96.8225,29.99,74,20,4.12,CC,1720669593
6,kununurra,-15.7667,128.7333,32.99,19,6,5.66,AU,1720669593
7,kargopol',61.5071,38.9456,14.87,83,5,1.96,RU,1720669594
8,grytviken,-54.2811,-36.5092,-0.7,95,55,7.66,GS,1720669594
9,bethel,41.3712,-73.414,25.47,84,63,0.45,US,1720669594
10,waitangi,-43.9535,-176.5597,7.68,93,67,4.47,NZ,1720669594
11,nova sintra,14.8667,-24.7167,24.17,77,100,3.64,CV,1720669594
12,bilibino,68.0546,166.4372,16.45,36,38,5.98,RU,1720669594
13,mana,5.6592,-53.7767,24.85,90,24,3.39,GF,1720669594
14,kingston,17.997,-76.7936,29.53,79,20,4.12,JM,1720669594
15,hawaiian paradise park,19.5933,-154.9731,26.52,80,75,1.79,US,1720669595
16,margaret river,-33.95,115.0667,16.09,58,68,5.88,AU,1720669595
17,linxia chengguanzhen,35.6003,103.2064,26.11,38,65,2.2,CN,1720669595
18,ha'il,27.5219,41.6907,28.01,21,0,1.03,SA,1720669595
19,lorengau,-2.0226,147.2712,28.63,79,100,5.93,PG,1720669595
20,cassilandia,-19.1133,-51.7342,16.3,89,0,1.11,BR,1720669595
21,cole harbour,44.6724,-63.4751,21.66,92,83,4.63,CA,1720669595
22,patterson,37.4716,-121.1297,34.43,60,0,3.16,US,1720669595
23,barra de santo antonio,-9.4047,-35.5072,22.6,77,3,6.01,BR,1720669596
24,richards bay,-28.783,32.0377,16.72,22,0,2.93,ZA,1720669596
25,ilulissat,69.2167,-51.1,4.01,93,100,2.57,GL,1720669596
26,rongelap,11.1635,166.8941,28.43,77,23,6.58,MH,1720669596
27,adamstown,-25.066,-130.1015,21.08,70,100,7.95,PN,1720669596
28,cidreira,-30.1811,-50.2056,9.93,93,100,3.5,BR,1720669596
29,charters towers,-20.1,146.2667,25.64,36,0,2.21,AU,1720669596
30,thompson,55.7435,-97.8558,25.09,61,100,5.66,CA,1720669596
31,lisburn,54.5234,-6.0353,12.69,84,20,5.14,GB,1720669597
32,kolonia,50.9333,6.95,17.71,89,0,1.03,DE,1720669597
33,blackmans bay,-43.0167,147.3167,12.07,74,90,1.34,AU,1720669597
34,carnarvon,-24.8667,113.6333,19.61,53,75,7.72,AU,1720669597
35,cold lake,54.4502,-110.2017,28.97,61,20,2.06,CA,1720669597
36,taoudenni,22.6783,-3.9836,36.97,23,7,8.88,ML,1720669597
37,talnakh,69.4865,88.3972,26.23,33,40,1.74,RU,1720669597
38,bobo-dioulasso,11.1771,-4.2979,23.25,94,0,0.0,BF,1720669597
39,soio,-6.1349,12.3689,21.05,85,69,4.18,AO,1720669598
40,klyuchi,52.2667,79.1667,25.05,50,43,4.04,RU,1720669598
41,avarua,-21.2078,-159.775,21.03,73,20,2.57,CK,1720669550
42,lospalos,-8.5186,127.0025,25.72,63,100,6.01,TL,1720669598
43,fauske,67.2588,15.3918,14.02,82,100,4.05,NO,1720669598
44,port hedland,-20.3167,118.5667,31.03,35,0,3.09,AU,1720669598
45,khandyga,62.6667,135.6,23.98,51,100,1.85,RU,1720669598
46,dronero,44.4657,7.3513,20.96,75,3,3.41,IT,1720669598
47,stanley,54.868,-1.6985,10.71,95,20,1.54,GB,1720669599
48,palikir - national government center,6.9248,158.1611,30.47,79,100,4.63,FM,1720669599
49,port lincoln,-34.7333,135.8667,15.23,67,14,6.64,AU,1720669599
50,invercargill,-46.4,168.35,7.79,95,100,0.45,NZ,1720669599
51,zheleznodorozhnyy,55.7503,38.0042,19.23,55,65,1.56,RU,1720669546
52,whitehorse,60.7161,-135.0538,17.67,55,75,4.12,CA,1720669599
53,fale old settlement,-9.3852,-171.2468,28.73,69,97,6.85,TK,1720669599
54,revda,56.801,59.9303,22.18,61,100,1.63,RU,1720669599
55,uttarkashi,30.7333,78.45,23.81,71,12,1.8,IN,1720669600
56,itoman,26.1247,127.6694,33.21,73,75,7.72,JP,1720669600
57,gadzhiyevo,69.2551,33.3362,12.92,63,25,4.53,RU,1720669600
58,natal,-5.795,-35.2094,22.36,94,20,2.06,BR,1720669600
59,pipar,26.3856,73.5378,33.17,57,92,7.33,IN,1720669600
60,hermanus,-34.4187,19.2345,15.77,86,100,14.09,ZA,1720669600
61,namibe,-15.1961,12.1522,17.17,77,0,4.16,AO,1720669601
62,port elizabeth,-33.918,25.5701,21.72,51,0,5.66,ZA,1720669601
63,puerto natales,-51.7236,-72.4875,2.16,97,98,2.27,CL,1720669601
64,hithadhoo,-0.6,73.0833,28.59,73,18,2.26,MV,1720669601
65,conde,-7.2597,-34.9075,21.7,100,20,1.54,BR,1720669601
66,college,64.8569,-147.8028,23.18,43,100,0.89,US,1720669601
67,papatowai,-46.5619,169.4708,9.96,83,3,2.12,NZ,1720669601
68,kiskunmajsa,46.4903,19.74,23.28,43,4,0.51,HU,1720669601
69,birzebbuga,35.8258,14.5269,25.64,69,0,1.03,MT,1720669602
70,gaozhou,21.9392,110.8461,33.21,56,80,3.87,CN,1720669602
71,luumaki,60.9262,27.5814,16.03,70,60,2.66,FI,1720669602
72,barreirinhas,-2.7469,-42.8264,23.31,93,74,2.64,BR,1720669602
73,wailua homesteads,22.0669,-159.378,26.44,75,100,7.2,US,1720669602
74,albany,42.6001,-73.9662,26.23,82,100,2.68,US,1720669602
75,yellowknife,62.456,-114.3525,15.29,71,75,6.17,CA,1720669602
76,badger,64.8,-147.5333,23.14,49,100,2.05,US,1720669602
77,miri,4.4148,114.0089,30.08,74,40,1.54,MY,1720669603
78,la ronge,55.1001,-105.2842,28.12,39,40,3.09,CA,1720669603
79,la cocha,-27.7773,-65.5704,1.71,69,8,1.28,AR,1720669603
80,alice springs,-23.7,133.8833,25.75,27,0,6.69,AU,1720669603
81,longyearbyen,78.2186,15.6401,6.91,87,75,0.51,SJ,1720669603
82,la'ie,21.6477,-157.9253,28.98,77,44,4.92,US,1720669603
83,zilair,52.2332,57.4392,19.34,82,10,5.02,RU,1720669604
84,bartica,6.4,-58.6167,26.18,99,29,0.83,GY,1720669604
85,sao joao da barra,-21.6403,-41.0511,22.42,91,3,0.86,BR,1720669604
86,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,82,75,6.0,RU,1720669604
87,praia da vitoria,38.7333,-27.0667,21.53,88,75,3.49,PT,1720669604
88,hebi,35.8992,114.1925,32.79,50,14,2.72,CN,1720669604
89,constantia,44.1833,28.65,25.39,57,26,7.14,RO,1720669604
90,iqaluit,63.7506,-68.5145,8.85,81,75,1.03,CA,1720669605
91,valparaiso,-33.0393,-71.6273,5.8,87,0,1.54,CL,1720669605
92,port augusta,-32.5,137.7667,12.66,74,100,6.72,AU,1720669605
93,brokopondo,4.75,-55.1667,25.04,87,98,2.49,SR,1720669605
94,yola,9.2,12.4833,25.9,89,20,0.0,NG,1720669605
95,viedma,-40.8135,-62.9967,6.72,76,97,3.93,AR,1720669605
96,jinchang,38.4953,102.1739,26.33,35,97,7.91,CN,1720669605
97,anadyr,64.75,177.4833,8.28,52,75,8.0,RU,1720669605
98,novo aripuana,-5.1206,-60.3797,24.29,82,100,1.25,BR,1720669605
99,taroa,8.7058,171.2275,28.4,80,54,7.65,MH,1720669606
100,yaren,-0.5472,166.916,28.78,73,100,4.45,NR,1720669606
101,aykhal,66.0,111.5,25.47,34,99,3.59,RU,1720669606
102,howrah,22.5892,88.3103,33.0,75,40,5.14,IN,1720669606
103,adam,22.3756,57.5233,30.06,63,93,3.46,OM,1720669606
104,nagqu,31.5,92.0,15.31,54,99,3.36,CN,1720669606
105,lihue,21.9789,-159.3672,26.77,73,100,7.2,US,1720669606
106,arteche,12.2645,125.4048,30.19,71,94,2.95,PH,1720669606
107,rebrikha,53.0733,82.3408,22.36,64,66,4.56,RU,1720669607
108,shwebo,22.5667,95.7,25.33,89,100,4.19,MM,1720669607
109,arno,60.1167,18.6333,14.88,98,100,6.01,SE,1720669607
110,port alfred,-33.5906,26.891,20.71,31,64,7.37,ZA,1720669607
111,colonia,50.9333,6.95,17.71,89,0,1.03,DE,1720669607
112,kapuskasing,49.4169,-82.4331,14.05,77,20,2.06,CA,1720669607
113,sangin,32.0728,64.8359,34.56,11,0,4.79,AF,1720669608
114,tura,25.5198,90.2201,26.9,90,97,3.22,IN,1720669608
115,ramnagar,29.4,79.1167,30.93,68,8,1.13,IN,1720669608
116,atafu village,-8.5421,-172.5159,27.31,81,87,6.2,TK,1720669608
117,tamanrasset,22.785,5.5228,24.95,16,94,2.57,DZ,1720669608
118,val-d'or,48.1002,-77.7828,19.05,72,40,5.14,CA,1720669608
119,queenstown,-31.8976,26.8753,13.57,17,36,9.49,ZA,1720669609
120,ponta delgada,37.7333,-25.6667,21.4,88,40,4.12,PT,1720669609
121,jamestown,42.097,-79.2353,20.01,95,100,4.12,US,1720669609
